zgbh,icid
1333028   ,2669219963
1333337   ,4128965646
1333547   ,0867977163
1333565   ,0874034363
1333596   ,0869139611
1333628   ,2674387787
1333645   ,1767338443
1333681   ,2674548267
1333696   ,3203176418
1334139   ,2676377211
1334385   ,0873630331
1335036   ,1781271899
1335191   ,3536340078
1335702   ,0761726362
1335741   ,0873297003
1335744   ,3529967758
1335903   ,0872898443
1301978   ,3536875534
1301996   ,4137592654
1302013   ,4138983518
1302228   ,4140395950
1302466   ,4138160574
1302679   ,4137027774
1302762   ,2673736875
1302900   ,4138254446
1302917   ,4135778638
1303554   ,4133867694
1303604   ,0877384427
1304938   ,3739722929
1304973   ,0760171498
1305006   ,4136990654
1305518   ,1782471451
1306747   ,3537134414
1306814   ,3536101390
1306988   ,0334386577
1308661   ,3530334222
1308711   ,0758743498
1309519   ,2673750459
1310079   ,2672198123
1310472   ,1789694875
1336340   ,4289234878
1336746   ,0966786219
1336763   ,2675321163
1336796   ,3536570654
1336799   ,1768062043
1336849   ,1790362331
1336922   ,1788276283
1337234   ,2672071387
1337399   ,1768728507
1337499   ,1768536731
1312037   ,2674180235
1312462   ,3529165982
1312786   ,0750870970
1312851   ,0969481947
1313095   ,3521004798
1313112   ,4140821118
1313193   ,4140408238
1313210   ,1790021819
1313376   ,1762168203
1314332   ,0967010699
1314336   ,0965815083
1332625   ,1780463099
1332682   ,1769572155
1332725   ,0969824987
1332743   ,1779080859
1332766   ,1790424411
1332873   ,2755869642
1332884   ,3149477922
1332977   ,3739895425
1333041   ,2668476843
1333566   ,0872925643
1333651   ,1767208091
1333658   ,1768644667
1333726   ,1788386363
1334104   ,2672942763
1335197   ,0874982251
1336385   ,3530078974
1336392   ,1790225515
1336399   ,3530001870
1336403   ,1789305963
1336569   ,0312624922
1336644   ,1765802043
1336833   ,2673829723
1336844   ,0486753355
1336866   ,1785221547
1337051   ,1269678633
1337211   ,1111437566
1337867   ,1781439227
1321983   ,1764340155
1322337   ,0977791803
1322629   ,2675856811
1332639   ,4129160878
1332863   ,0865918747
1333062   ,3532735870
1335268   ,3732449902
1335503   ,1765736747
1335504   ,3532248478
1335521   ,0966078267
1335538   ,0968119275
1335552   ,0760748522
1335691   ,1781495611
1335778   ,4134444590
1335994   ,1766768395
1336124   ,3285589041
1321987   ,0972582251
1323377   ,1766853259
1323808   ,3213732738
1323922   ,4128931566
1324616   ,4289315214
1325511   ,1763964395
1325677   ,0873981131
1325774   ,0874195771
1325921   ,0873203259
1325952   ,0873027979
1328296   ,0873108667
1329116   ,0756007258
1330267   ,3387711332
1330268   ,0600113549
1330282   ,0978482235
1330962   ,3528047902
1331146   ,1784999371
1336498   ,0968151883
1336516   ,0868175339
1336715   ,3247349779
1312135   ,4129724558
1312202   ,1789112203
1312556   ,3537238142
1313375   ,1111876462
1332609   ,3543403045
1332800   ,1605162074
1333043   ,2673848331
1333193   ,3521563998
1335274   ,2671793435
1335502   ,2668005019
1335509   ,2674588283
1335661   ,3149004066
1335773   ,3815696884
1335969   ,0874522107
1321749   ,0967467099
1322445   ,1766591387
1322452   ,3207754914
1322502   ,2675642443
1323746   ,0867893915
1323803   ,0758443066
1324147   ,2675014891
1324222   ,3208633602
1325128   ,1767595611
1325849   ,0873579211
1325897   ,0872729707
1325922   ,0872927483
1326288   ,1789896219
1326433   ,0761118602
1328823   ,3530917006
1329090   ,0755999642
1329364   ,3536541646
1329450   ,3531674190
1329633   ,0967839227
1329730   ,0760772890
1329755   ,3527422638
1329762   ,0974595259
1329815   ,1768065883
1336201   ,0969177915
1336592   ,1767789867
1336703   ,1766947787
1336753   ,0969177147
1332050   ,1789248251
1332563   ,0867468971
1332611   ,2672180747
1335234   ,1116237646
1335495   ,2657984884
1335497   ,3535541390
1335528   ,2676532411
1335545   ,1604303130
1335957   ,1116939310
1335976   ,0948451258
1336020   ,1789907227
1336068   ,1762807451
1336085   ,3742043313
1336180   ,1782029115
1336269   ,2465724608
1336640   ,3532454574
1336672   ,2673524651
1312612   ,1798396329
1312796   ,1778760107
1312813   ,2658628004
1314085   ,1778642235
1314342   ,0479930379
1314393   ,0968323051
1316216   ,3740224907
1317250   ,4129015422
1317445   ,1781850731
1317628   ,1782944395
1318088   ,4139609582
1318188   ,4138413326
1318511   ,4134781950
1319136   ,1798691913
1319149   ,4130944814
1319383   ,4128955262
1319534   ,0873348779
1319758   ,1781765723
1320918   ,1788481723
1321496   ,0968355291
1301644   ,1782523691
1302105   ,4139155854
1332340   ,0969145211
1332556   ,3503935018
1333158   ,0968409083
1333307   ,0968034507
1334107   ,2671850747
1335192   ,2665862459
1335487   ,0868287995
1335488   ,4289111918
1335506   ,0967983995
1335536   ,3537402446
1335672   ,1782984907
1335759   ,1766550875
1302046   ,4138694286
1302277   ,3250593267
1302886   ,4138971806
1303622   ,1785103659
1304362   ,3251533555
1304612   ,2673064283
1305005   ,4137135246
1305343   ,2671499995
1308560   ,3742024017
1310329   ,2754942234
1335996   ,0868451547
1336042   ,3741250497
1336058   ,0968619179
1336211   ,0968861947
1336297   ,1767262267
1336731   ,2662302923
1336732   ,1768255147
1336782   ,3544776037
1333074   ,0869636635
1335196   ,0974616347
1335230   ,4287556606
1335255   ,0969513899
1335499   ,1606432794
1335510   ,2673047211
1335532   ,4140662366
1335541   ,0486572475
1335543   ,3535359006
1335683   ,3530392494
1335692   ,2676719563
1335740   ,2675500091
1335806   ,1813201162
1336079   ,3528226574
1336178   ,0966555915
1336248   ,1786532443
1336273   ,3250683491
1336535   ,0760878554
1336627   ,1116150910
1336791   ,1781623435
1301533   ,4137493022
1301772   ,2669729723
1302050   ,4140085694
1302075   ,4137842510
1302084   ,4137799262
1302431   ,4137776670
1302802   ,4137281038
1302963   ,4135731646
1303701   ,4139255614
1304634   ,3732476014
1305026   ,4134791534
1306443   ,4133932430
1308217   ,0759313274
1309251   ,2669916763
1309719   ,3209133298
1309742   ,0866552347
1309986   ,0003153185
756473    ,1349683962
757979    ,1690982157
1321759   ,1767556427
1322014   ,0755513034
1322021   ,1768033707
1332827   ,1438065563
1332934   ,0311987290
1333084   ,4130372062
1333159   ,1765021979
1333334   ,2672080459
1333757   ,0867932635
1335229   ,3530916574
1335493   ,0874985035
1335507   ,0751380650
1335524   ,1766582635
1335549   ,0974696475
1335646   ,0877054283
1335700   ,0758721946
1335990   ,1782389643
1336019   ,0875968187
1336046   ,2675874859
1336520   ,2674341131
1336583   ,1766783083
1336608   ,2675728059
1321656   ,0967470347
1322058   ,1768278507
1323983   ,1766868635
1324227   ,0968853851
1325834   ,0874305579
1325858   ,0869978171
1325874   ,0872920619
1326304   ,2675625499
1327150   ,1788390651
1327166   ,2674346523
1327245   ,1788174859
1327771   ,1788365355
1328325   ,1789062619
1329416   ,3529648462
1329856   ,0874564635
1329881   ,0873798395
1329895   ,0873976715
1330289   ,1764226107
1331150   ,1790534427
1331232   ,2676091051
1302047   ,3713353710
1302133   ,4138049086
1302478   ,4140893038
1333100   ,0965342763
1335551   ,0761680266
1335626   ,2677074635
1335698   ,2512729275
1322006   ,1767644603
1322922   ,2675537899
1323396   ,0873746971
1323917   ,2672122123
1324561   ,4287953534
1326475   ,0865782187
1328298   ,0312551498
1329350   ,0258793162
1329432   ,0968696715
1329804   ,0762519498
1329847   ,0873810843
1329951   ,3250187619
1330924   ,4140091870
1336055   ,3216026650
